fpr,tpr
0.70292,0.98072
0.70864,0.9812
0.71186,0.98164
0.71734,0.98208
0.7207,0.98254
0.72562,0.98298
0.72954,0.98342
0.73418,0.98384
0.7404,0.98424
0.74524,0.9847
0.75142,0.98516
0.7565,0.98556
0.7604,0.986
0.76392,0.98646
0.7697,0.98688
0.77644,0.98732
0.78026,0.98776
0.78542,0.98818
0.7905,0.98856
0.79722,0.989
0.80228,0.98948
0.80888,0.9899
0.8164,0.9903
0.82246,0.9907
0.82886,0.99114
0.83462,0.99164
0.8404,0.99204
0.84784,0.99244
0.8543,0.99284
0.86022,0.99328
0.86522,0.99372
0.87342,0.99424
0.87824,0.99464
0.88398,0.99502
0.89232,0.9954
0.90016,0.9958
0.91028,0.99624
0.9172,0.99666
0.92648,0.99704
0.93518,0.9975
0.94558,0.99792
0.95354,0.99828
0.96222,0.99872
0.97556,0.99916
0.98702,0.99956
0.99946,0.99996
